data_pesquisa,id_empresa,rede,endereco_completo,codigo_categoria,id_produto,descricao,preco_regular,bairro,categoria
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",9.0,7896080001401,CONHAQUE -DOMECQ -1 LITRO,53.9,Santa Quitéria,Bebidas alcoólicas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",9.0,7896023080487,CONHAQUE -PRESIDENTE -900 ML,14.9,Santa Quitéria,Bebidas alcoólicas
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896348202397,CONSERVA PICLES -JUREIA -540 GR,13.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7891331008352,BARRA DE CEREAIS C/ COBERTURA -NUTRY -66 GR,5.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896115400025,FARINHA DE TRIGO -GUTH -1 KG,3.29,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896115400018,FARINHA DE TRIGO -GUTH -5 KG,14.79,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896200001809,BISCOITO CHAMPAGNE -ZEZE -180 GR,7.39,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896111421895,BISCOITO CREAM CRACKER -NINFA -370 GR,4.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896104802892,DOCE DE FRUTAS -RITTER -400 GR,9.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",7.0,7896274800582,DESINFETANTE LÍQUIDO -VIDA -500 ML,1.79,Santa Quitéria,Utilidades
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896267004201,ARROZ POLIDO -BURITI -1 KG,4.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896534400200,FARINHA DE TRIGO -VENTURELLI -1 KG,4.59,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896534401122,FARINHA DE TRIGO -VENTURELLI -5 KG,21.9,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,7891528030142,CREME DENTAL -SORRISO -90 GR,4.39,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",6.0,7891024132128,CREME DENTAL -COLGATE -90 GR,5.39,Santa Quitéria,Limpeza
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896275980962,BEBIDA LÁCTEA SABOR CHOCOLATE -FRIMESA -200 ML,1.69,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7891962054100,BISCOITO COOKIES -BAUDUCCO -100 GR,3.99,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",1.0,7896018209251,BISCOITO PÃO DE MEL COM COBERTURA BANDEJA -BARION -90 GR,3.89,Santa Quitéria,Alimentos
2025-07-31,109,condor,"Rua João Alencar Guimarães, 2126 - Curitiba/PR",5.0,7891527072303,"CARNE MOIDA, DE FRANGO -COPACOL -400 GR",10.79,Santa Quitéria,Açougue
